sid,period,recipient,subject,group,profit,totalprofit,pair,roletrust,ingroup,svogroup,role,roledictator,trio,trustprofit,give,other1,other2,otherteam,othernum,dictator_roundpay,dictator_team,dictator_num,dictatorprofit,selectedteam,selectednum,mean_to_self,mean_to_other,not_altru_indiv,inequality_aversion_score,payed_slider,svoprofit,kept_of_sender,received_from_sender,totalpayoff,topay,session,groupid,correct,correct_group,svo_angle,svo_type,sent,returned,kindness,discrimination,partner_team,partner_id,direct,otherdirect,greciprocity,othergreciprocity,in_group,otherin_group,conddirect,condgrec,condin,condition,inbiasround,inbias,groupbias,groupkindness,groupsend,history
117,6,1,21,6,0,0,9,2,1,12,2,2,8,260,35,3,1,6,4,35,4,4,35,2,1,185,111.666666666666,0,-99,6,170,170,170,510,85,5,30,3,3,28.442928,2,90,10,.11111111,0,3,1,0,0,0,0,1,0,0,0,1,2,0,,,.59861112,,0
117,6,2,21,6,0,0,9,2,1,12,2,2,8,260,35,3,1,4,4,35,4,4,35,2,1,185,111.666666666666,0,-99,6,170,170,170,510,85,5,30,3,3,28.442928,2,90,10,.11111111,0,3,1,0,0,0,0,0,1,0,0,1,2,0,,,.59861112,,0
118,1,1,22,6,0,0,10,2,2,12,1,3,2,89,35,1,2,1,1,30,6,2,0,0,0,0,0,0,-99,5,0,0,0,134,23,5,30,3,3,36.78759,2,30,1,.033333335,0,3,2,0,0,0,0,0,0,0,0,0,1,,0,15,.59861112,,0
118,1,2,22,6,0,0,10,2,2,12,1,3,2,89,35,1,2,4,2,30,6,2,0,0,0,0,0,0,-99,5,0,0,0,134,23,5,30,3,3,36.78759,2,30,1,.033333335,0,3,2,0,0,0,0,0,0,0,0,0,1,,0,15,.59861112,,0
118,2,1,22,6,0,0,10,2,2,12,1,3,6,89,10,1,2,3,2,30,6,2,0,0,0,0,0,0,-99,6,0,0,0,134,23,5,30,3,3,36.78759,2,30,1,.033333335,50,3,2,1,0,0,0,0,0,1,0,0,4,,,,.59861112,,1
118,2,2,22,6,0,0,10,2,2,12,1,3,6,89,60,1,2,5,4,30,6,2,0,0,0,0,0,0,-99,6,0,0,0,134,23,5,30,3,3,36.78759,2,30,1,.033333335,50,3,2,0,1,0,0,0,0,1,0,0,4,,,,.59861112,,1
118,3,1,22,6,0,0,10,2,2,12,1,2,8,89,35,3,1,6,3,35,4,3,0,0,0,0,0,0,-99,3,0,0,0,134,23,5,30,3,3,36.78759,2,30,1,.033333335,0,3,2,0,0,0,0,1,0,0,0,1,2,0,,,.59861112,,0
118,3,2,22,6,0,0,10,2,2,12,1,2,8,89,35,3,1,4,3,35,4,3,0,0,0,0,0,0,-99,3,0,0,0,134,23,5,30,3,3,36.78759,2,30,1,.033333335,0,3,2,0,0,0,0,0,1,0,0,1,2,0,,,.59861112,,0
118,4,1,22,6,0,0,10,2,2,12,1,3,4,89,35,1,2,1,1,30,6,2,35,4,3,0,0,0,-99,3,0,0,0,169,29,5,30,3,3,36.78759,2,30,1,.033333335,0,3,2,0,0,0,1,0,0,0,1,0,3,,,,.59861112,,0
118,4,2,22,6,0,0,10,2,2,12,1,3,4,89,35,1,2,3,1,30,6,2,35,4,3,0,0,0,-99,3,0,0,0,169,29,5,30,3,3,36.78759,2,30,1,.033333335,0,3,2,0,0,1,0,0,0,0,1,0,3,,,,.59861112,,0
118,5,1,22,6,0,0,10,2,2,12,1,3,1,89,35,1,2,3,4,35,4,2,35,4,3,0,0,0,-99,6,0,0,0,169,29,5,30,3,3,36.78759,2,30,1,.033333335,0,3,2,0,0,1,0,0,0,0,1,0,3,,,,.59861112,,0
118,5,2,22,6,0,0,10,2,2,12,1,3,1,89,35,1,2,4,2,35,4,2,35,4,3,0,0,0,-99,6,0,0,0,169,29,5,30,3,3,36.78759,2,30,1,.033333335,0,3,2,0,0,0,1,0,0,0,1,0,3,,,,.59861112,,0
118,6,1,22,6,0,0,10,2,2,12,1,3,1,89,35,1,2,2,2,30,2,2,35,4,2,173.666666666666,136.166666666666,0,-99,6,170,0,0,339,57,5,30,3,3,36.78759,2,30,1,.033333335,0,3,2,0,0,0,0,0,0,0,0,0,1,,,,.59861112,,0
